北京天泽智云科技有限公司,北京,高级java工程师,10:39发布,20k-35k,5-10年,50-150人,"六险一金,绩效奖金,职位晋升,各种补贴",海淀区
北京跃盟科技有限公司,北京,高级Java工程师,2天前发布,30k-50k,5-10年,50-150人,"行业前沿,牛人云集,午餐补助,地铁周边",朝阳区
融慧金科金融服务外包（北京）有限公司,北京,高级JAVA研发工程师,09:42发布,25k-50k,3-5年,50-150人,"带薪年假,五险一金,地铁周边,年终奖",朝阳区
北京瓴岳信息技术有限公司,北京,Java开发工程师,1天前发布,15k-25k,1-3年,150-500人,年底双薪；科技驱动；午餐晚餐；年度旅游,朝阳区
杏树林信息技术（北京）有限公司,北京,Java高级开发工程师,1天前发布,25k-35k,5-10年,150-500人,"一日三餐,水果零食,私人医生,近地铁",东城区
影时光网络技术（北京）有限公司,北京,高级Java开发工程师,2天前发布,20k-30k,5-10年,500-2000人,"平台好,福利全面,发展空间大,团队优秀",朝阳区
北京钛氪新媒体科技有限公司,北京,高级Java工程师,11:25发布,18k-35k,3-5年,50-150人,"新媒体,大数据,SaaS",朝阳区
上海蔚来汽车有限公司,北京,JAVA,11:01发布,20k-40k,3-5年,2000人以上,"六险一金,弹性办公,租房补贴,学霸团队",朝阳区
北京东方车云信息技术有限公司,北京,高级JAVA工程师,10:55发布,20k-30k,5-10年,500-2000人,福利多、成长快！,东城区
北京国双科技有限公司,北京,高级JAVA开发工程师,09:42发布,15k-20k,3-5年,500-2000人,"上市公司,大数据企业,年终奖金,带薪年假",海淀区
香格里拉饭店管理（上海）有限公司北京分公司,北京,Java 软件开发工程师,1天前发布,20k-40k,3-5年,2000人以上,"宽松氛围,弹性工作,高福利,发展空间大",朝阳区
哆啦宝（北京）科技有限公司,北京,Java高级开发工程师,1天前发布,20k-30k,3-5年,150-500人,"BAT团队,健身俱乐部,弹性办公",朝阳区
中信百信银行股份有限公司,北京,Java开发工程师,2018-11-12,25k-50k,3-5年,150-500人,"竞争性待遇,完善的福利",朝阳区
北京懒猫联银科技有限公司,北京,初级Java工程师职位,09:39发布,6k-12k,1年以下,150-500人,带薪年假、年底奖金、带薪病假、生日假等,朝阳区
北京神州微融金融信息服务有限公司,北京,Java开发工程师,3天前发布,11k-22k,3-5年,50-150人,"前沿领域,行业领先,弹性工作,带薪年假",海淀区
